Loading weights:   0%|          | 0/132 [00:00<?, ?it/s]Loading weights: 100%|██████████| 132/132 [00:00<00:00, 5422.98it/s]
[   121s] seed=0 K_day                      0/1 tok=254
[   121s] seed=0 K_day__ctrl                1/1 tok=41
[   124s] seed=0 K_time                     0/1 tok=242
[   125s] seed=0 K_time__ctrl               1/1 tok=43
[   129s] seed=0 K_color                    0/1 tok=328
[   130s] seed=0 K_color__ctrl              0/1 tok=40
[   130s] seed=0 O_second_item              1/1 tok=62
[   133s] seed=0 O_last_item                0/1 tok=164
[   134s] seed=0 O_add10                    2/2 tok=87
[   136s] seed=0 O_add10__ctrl              1/1 tok=21
[   141s] seed=0 RI_identity                0/2 tok=290
[   145s] seed=0 RI_binding                 0/1 tok=336
[   145s] seed=0 RI_binding__ctrl           1/1 tok=26
[   151s] seed=0 T_party                    1/1 tok=463
[   152s] seed=0 T_party__ctrl              1/1 tok=41
[   161s] seed=0 T_dragon                   1/2 tok=584
[   163s] seed=0 T_dragon__ctrl             2/2 tok=41
[   179s] seed=0 L_tell_more                0/0 tok=1039
[   187s] seed=0 L_chitchat                 0/1 tok=672
[   192s] seed=1 R_d2_name                  0/1 tok=400
[   193s] seed=1 R_d2_name__ctrl            0/1 tok=40
[   198s] seed=1 R_d2_number                0/1 tok=367
[   199s] seed=1 R_d2_number__ctrl          0/1 tok=29
[   209s] seed=1 R_d4_pet                   1/1 tok=753
[   209s] seed=1 R_d4_pet__ctrl             1/1 tok=30
[   219s] seed=1 R_d4_city                  1/1 tok=691
[   220s] seed=1 R_d4_city__ctrl            1/1 tok=30
[   231s] seed=1 R_d6_name                  0/1 tok=920
[   232s] seed=1 R_d6_name__ctrl            0/1 tok=28
[   247s] seed=1 R_d6_number                0/1 tok=1035
[   248s] seed=1 R_d6_number__ctrl          0/1 tok=35
[   267s] seed=1 R_d10_pet                  0/1 tok=1478
[   267s] seed=1 R_d10_pet__ctrl            1/1 tok=28
[   277s] seed=1 R_d5_multi                 0/3 tok=762
[   278s] seed=1 R_d5_multi__ctrl           3/3 tok=47
[   279s] seed=1 F_ellipsis_capital         2/2 tok=38
[   279s] seed=1 F_ellipsis_capital__ctrl   1/1 tok=16
[   281s] seed=1 F_translate                2/2 tok=100
[   282s] seed=1 F_translate__ctrl          0/1 tok=21
[   285s] seed=1 F_coref_she                0/1 tok=199
[   285s] seed=1 F_coref_she__ctrl          1/1 tok=29
[   289s] seed=1 F_whynot                   1/1 tok=159
[   289s] seed=1 F_whynot__ctrl             1/1 tok=21
[   292s] seed=1 F_shorter                  1/1 tok=134
[   292s] seed=1 F_shorter__ctrl            1/1 tok=21
[   296s] seed=1 I_one_sentence             3/3 tok=297
[   296s] seed=1 I_one_sentence__ctrl       1/1 tok=19
[   302s] seed=1 I_end_question             1/3 tok=394
[   303s] seed=1 I_end_question__ctrl       1/1 tok=31
[   306s] seed=1 I_caps                     3/3 tok=236
[   306s] seed=1 I_caps__ctrl               1/1 tok=20
[   310s] seed=1 I_persona                  5/5 tok=296
[   310s] seed=1 I_persona__ctrl            1/2 tok=40
[   313s] seed=1 K_day                      0/1 tok=243
[   313s] seed=1 K_day__ctrl                1/1 tok=41
[   317s] seed=1 K_time                     0/1 tok=275
[   317s] seed=1 K_time__ctrl               1/1 tok=43
[   321s] seed=1 K_color                    0/1 tok=327
[   322s] seed=1 K_color__ctrl              0/1 tok=40
[   323s] seed=1 O_second_item              1/1 tok=95
[   325s] seed=1 O_last_item                0/1 tok=164
[   326s] seed=1 O_add10                    1/2 tok=80
[   328s] seed=1 O_add10__ctrl              1/1 tok=21
[   333s] seed=1 RI_identity                0/2 tok=285
[   337s] seed=1 RI_binding                 0/1 tok=336
[   337s] seed=1 RI_binding__ctrl           1/1 tok=26
[   344s] seed=1 T_party                    1/1 tok=543
[   345s] seed=1 T_party__ctrl              1/1 tok=41
[   354s] seed=1 T_dragon                   2/2 tok=583
[   356s] seed=1 T_dragon__ctrl             2/2 tok=41
[   372s] seed=1 L_tell_more                0/0 tok=1083
[   380s] seed=1 L_chitchat                 0/1 tok=678
done LiquidAI/LFM2.5-230M in 380s -> /Users/brohm/Documents/Projects/maxgpt-planck/experiments/E001_battery_and_probes/transcripts/LiquidAI__LFM2.5-230M__sampled.jsonl
